Episode,Return
407,-661.3426943546996
408,-659.302502016655
409,-686.6769195433426
410,-666.2223338584345
411,-682.1316122799026
412,-647.6665322308056
413,-684.1016540895461
414,-668.995072312489
415,-802.1586072412456
416,-682.1884920323849
417,-669.5255610334448
418,-703.4758414369686
419,-704.5881267185623
420,-680.793652248086
421,-686.1606331217047
422,-8.42406012811
423,-4.89720938313161
424,5.454267217314623
425,21.71081592895871
426,20.298073001360194
427,3.6491370081384957
428,1.1716608157827295
429,0.5586912780506736
430,-9.232460431331162
431,8.99612651699897
432,-3.2848560768011907
433,-3.300745254946719
434,7.055314184340148
435,44.99028181418123
436,27.4114958473848
437,19.048464929273734
438,4.186897038505549
439,18.61369359799437
440,-6.6368624406586605
441,31.06250553832615
442,43.68785854339063
443,11.46256478466239
444,14.385020269549557
445,9.994614029602474
446,30.822063064178565
447,-770.5537087351868
448,34.5532968470979
449,-757.7275324255099
450,-774.8403822825148
451,23.055517406285333
452,-742.9838913171168
453,-738.0725058902345
454,-763.8458290594787
455,-768.9384401718017
456,-741.4135782010633
457,-761.0654084931964
458,8.779736203410152
459,-816.9273463650231
460,5.603828261831836
461,-622.9314397620321
462,-641.5693346168523
463,-649.5046179956503
464,-649.6430524276601
465,-633.8145627089823
466,-665.7848371730205
467,-643.0948387460177
468,-684.2873910656278
469,-667.7880280951949
470,-669.7821236951222
471,-680.9579404653285
472,-638.6173086658218
473,-644.8425418460001
474,-642.7789304091574
475,-655.1117209502864
476,-666.2645622844939
477,-689.2894083650258
478,-626.72400034248
479,-641.1803681359215
480,-625.5874465507324
481,-637.2242985827548
482,-671.9271289763592
483,-655.7675607596099
484,-651.8040183361425
485,-658.3335873070025
486,-637.9084922824128
487,-652.7567676888988
488,-644.4320897414877
489,-656.6814382330052
490,-680.9339962784812
491,-647.9259505538704
492,-627.3526332854209
493,-675.556572317917
494,-649.9565970221613
495,-655.5197838738858
496,-674.619875927583
497,-656.1014946570626
498,-651.5929757165253
499,-648.8790684586374
500,-686.2286417703912
